Timestamp,gyro_x,gyro_y,gyro_z
1728658339050.0,-17.92,17.92,0.0
1728658339100.0,0.0,17.92,0.0
1728658339150.0,0.0,17.92,0.0
1728658339200.0,0.0,17.92,0.0
1728658339250.0,0.0,0.0,0.0
1728658339300.0,0.0,0.0,0.0
1728658339350.0,0.0,0.0,0.0
1728658339400.0,0.0,0.0,0.0
1728658339450.0,0.0,0.0,0.0
1728658339500.0,0.0,0.0,0.0
1728658339550.0,0.0,0.0,0.0
1728658339600.0,-17.92,0.0,0.0
1728658339650.0,0.0,0.0,0.0
1728658339700.0,0.0,0.0,0.0
1728658339750.0,0.0,0.0,0.0
1728658339800.0,0.0,17.92,0.0
1728658339850.0,-35.84,0.0,0.0
1728658339900.0,-17.92,17.92,0.0
1728658339950.0,-17.92,17.92,-17.92
1728658340000.0,0.0,0.0,0.0
1728658340050.0,0.0,17.92,0.0
1728658340100.0,0.0,0.0,0.0
1728658340150.0,17.92,0.0,0.0
1728658340200.0,0.0,0.0,0.0
1728658340250.0,0.0,0.0,0.0
1728658340300.0,0.0,0.0,0.0
1728658340350.0,0.0,0.0,0.0
1728658340400.0,0.0,0.0,0.0
1728658340450.0,0.0,0.0,0.0
1728658340500.0,0.0,0.0,0.0
1728658340550.0,0.0,0.0,0.0
1728658340600.0,0.0,0.0,0.0
1728658340650.0,0.0,0.0,0.0
1728658340700.0,0.0,0.0,0.0
1728658340750.0,0.0,0.0,0.0
1728658340800.0,0.0,0.0,0.0
1728658340850.0,0.0,0.0,0.0
1728658340900.0,0.0,0.0,0.0
1728658340950.0,0.0,0.0,0.0
1728658341000.0,0.0,0.0,0.0
1728658341050.0,0.0,0.0,0.0
1728658341100.0,17.92,0.0,0.0
1728658341150.0,17.92,0.0,0.0
1728658341200.0,0.0,0.0,0.0
1728658341250.0,17.92,0.0,0.0
1728658341300.0,0.0,0.0,0.0
1728658341350.0,0.0,0.0,0.0
1728658341400.0,0.0,0.0,0.0
1728658341450.0,0.0,0.0,0.0
1728658341500.0,0.0,0.0,0.0
1728658341550.0,0.0,0.0,0.0
1728658341600.0,0.0,0.0,0.0
1728658341650.0,0.0,0.0,0.0
1728658341700.0,0.0,0.0,0.0
1728658341750.0,0.0,0.0,0.0
1728658341800.0,0.0,0.0,0.0
1728658341850.0,0.0,0.0,0.0
1728658341900.0,17.92,0.0,0.0
1728658341950.0,17.92,0.0,0.0
1728658342000.0,17.92,0.0,0.0
1728658342050.0,17.92,0.0,0.0
1728658342100.0,0.0,0.0,0.0
1728658342150.0,0.0,0.0,0.0
1728658342200.0,-17.92,0.0,0.0
1728658342250.0,-17.92,0.0,0.0
1728658342300.0,-17.92,0.0,0.0
1728658342350.0,0.0,0.0,0.0
1728658342400.0,-17.92,0.0,0.0
1728658342450.0,-17.92,0.0,0.0
1728658342500.0,0.0,0.0,0.0
1728658342550.0,0.0,0.0,0.0
1728658342600.0,17.92,0.0,0.0
1728658342650.0,0.0,0.0,0.0
1728658342700.0,0.0,0.0,-17.92
1728658342750.0,0.0,0.0,0.0
1728658342800.0,0.0,0.0,0.0
1728658342850.0,0.0,0.0,0.0
1728658342900.0,-17.92,0.0,0.0
1728658342950.0,-17.92,0.0,0.0
1728658343000.0,-17.92,0.0,0.0
1728658343050.0,-17.92,0.0,0.0
1728658343100.0,-17.92,0.0,0.0
1728658343150.0,0.0,0.0,0.0
1728658343200.0,0.0,0.0,0.0
1728658343250.0,0.0,0.0,0.0
1728658343300.0,0.0,0.0,0.0
1728658343350.0,0.0,0.0,0.0
1728658343400.0,0.0,0.0,0.0
1728658343450.0,0.0,0.0,0.0
1728658343500.0,0.0,0.0,0.0
1728658343550.0,0.0,0.0,0.0
1728658343600.0,0.0,0.0,0.0
1728658343650.0,0.0,0.0,0.0
1728658343700.0,0.0,0.0,0.0
1728658343750.0,0.0,0.0,0.0
1728658343800.0,0.0,0.0,0.0
1728658343850.0,0.0,0.0,0.0
1728658343900.0,0.0,0.0,0.0
1728658343950.0,0.0,0.0,0.0
1728658344000.0,0.0,0.0,0.0
1728658344050.0,0.0,0.0,0.0
1728658344100.0,0.0,0.0,0.0
1728658344150.0,0.0,0.0,0.0
1728658344200.0,0.0,0.0,0.0
1728658344250.0,0.0,0.0,0.0
1728658344300.0,0.0,0.0,0.0
1728658344350.0,0.0,0.0,0.0
1728658344400.0,0.0,0.0,0.0
1728658344450.0,0.0,0.0,0.0
1728658344500.0,0.0,0.0,0.0
1728658344550.0,0.0,0.0,0.0
1728658344600.0,0.0,0.0,0.0
1728658344650.0,0.0,0.0,0.0
1728658344700.0,17.92,0.0,0.0
1728658344750.0,17.92,0.0,0.0
1728658344800.0,0.0,0.0,0.0
1728658344850.0,0.0,0.0,0.0
1728658344900.0,0.0,0.0,0.0
1728658344950.0,0.0,0.0,0.0
1728658345000.0,17.92,0.0,0.0
1728658345050.0,17.92,0.0,0.0
1728658345100.0,17.92,0.0,0.0
1728658345150.0,0.0,0.0,0.0
1728658345200.0,17.92,0.0,0.0
1728658345250.0,17.92,0.0,0.0
1728658345300.0,0.0,0.0,0.0
1728658345350.0,0.0,0.0,0.0
1728658345400.0,0.0,0.0,0.0
1728658345450.0,0.0,0.0,0.0
1728658345500.0,0.0,0.0,0.0
1728658345550.0,0.0,0.0,0.0
1728658345600.0,0.0,0.0,0.0
1728658345650.0,0.0,0.0,0.0
1728658345700.0,0.0,0.0,0.0
1728658345750.0,0.0,0.0,0.0
1728658345800.0,0.0,0.0,0.0
1728658345850.0,0.0,0.0,0.0
1728658345900.0,0.0,0.0,0.0
1728658345950.0,0.0,0.0,0.0
1728658346000.0,0.0,0.0,0.0
1728658346050.0,0.0,0.0,0.0
1728658346100.0,0.0,0.0,0.0
1728658346150.0,0.0,0.0,0.0
1728658346200.0,0.0,0.0,0.0
1728658346250.0,0.0,0.0,0.0
1728658346300.0,0.0,0.0,0.0
1728658346350.0,0.0,0.0,0.0
1728658346400.0,0.0,0.0,0.0
1728658346450.0,0.0,0.0,0.0
1728658346500.0,0.0,0.0,0.0
1728658346550.0,0.0,0.0,0.0
1728658346600.0,0.0,0.0,0.0
1728658346650.0,0.0,0.0,0.0
1728658346700.0,0.0,0.0,0.0
1728658346750.0,0.0,0.0,0.0
1728658346800.0,0.0,0.0,0.0
1728658346850.0,0.0,0.0,0.0
1728658346900.0,0.0,0.0,0.0
1728658346950.0,0.0,0.0,0.0
1728658347000.0,17.92,0.0,0.0
1728658347050.0,17.92,0.0,0.0
1728658347100.0,17.92,0.0,0.0
1728658347150.0,0.0,0.0,0.0
1728658347200.0,0.0,0.0,0.0
1728658347250.0,0.0,0.0,0.0
1728658347300.0,0.0,0.0,0.0
1728658347350.0,0.0,0.0,0.0
1728658347400.0,0.0,0.0,0.0
1728658347450.0,0.0,0.0,0.0
1728658347500.0,0.0,0.0,0.0
1728658347550.0,0.0,0.0,0.0
1728658347600.0,0.0,0.0,0.0
1728658347650.0,0.0,0.0,0.0
1728658347700.0,0.0,0.0,0.0
1728658347750.0,0.0,0.0,0.0
1728658347800.0,0.0,0.0,0.0
1728658347850.0,0.0,0.0,0.0
