nothing_prob,throw_prob,swing_prob
0.9981852,0.0013406697,0.0004740425
0.99999666,4.2272913e-07,2.8524469e-06
0.9999924,6.3700786e-06,1.2901429e-06
0.9998679,5.7719095e-05,7.433944e-05
0.9999976,1.0895972e-06,1.285115e-06
0.79368466,0.015924085,0.19039118
0.99989104,1.080731e-05,9.809591e-05
0.9936718,0.005792356,0.00053590734
0.999982,1.5497137e-06,1.6481827e-05
0.98812973,0.011778612,9.1616384e-05
0.9971808,0.0016479346,0.0011712444
0.98454916,0.009157706,0.006293135
1.0,3.121894e-10,2.5710603e-12
0.99999976,5.9966794e-08,1.0909985e-07
0.9999989,9.311373e-07,1.07738465e-07
1.0,2.8275359e-08,6.5280996e-11
0.99694246,0.0007098549,0.002347715
0.9999654,2.923071e-05,5.350364e-06
0.9999964,2.926502e-06,6.2586827e-07
1.0,1.5480967e-09,1.1487845e-11
0.97966367,0.014108037,0.0062283734
0.99960655,0.00017144434,0.00022195581
0.9997863,0.0001361614,7.758828e-05
0.99999726,2.690646e-06,2.1304013e-08
0.9995907,0.00037178455,3.755775e-05
0.9998374,4.2141535e-05,0.00012035775
0.9999404,3.0842584e-05,2.8723784e-05
0.99431854,0.0056687966,1.2662382e-05
0.9999287,1.773831e-05,5.3462783e-05
0.99902606,0.0003519371,0.00062206434
0.99999404,5.3963554e-06,6.442109e-07
0.94342184,0.056304023,0.00027408425
0.9999449,4.5506582e-05,9.587571e-06
0.99836224,0.0012988072,0.00033896646
0.82783407,0.044825826,0.12734017
0.99908185,0.00073848385,0.00017959393
0.99999917,5.6421544e-07,1.952826e-07
0.9381432,0.009986215,0.051870584
0.99999976,1.0822688e-07,9.874904e-08
0.73297787,0.24599625,0.021025848
0.9998989,4.1260624e-05,5.9818623e-05
0.99999726,2.1017074e-06,6.08113e-07
0.6283108,0.31277844,0.058910828
1.0,1.3465145e-08,3.924632e-09
0.505668,0.26315978,0.23117226
0.9996025,0.00027544005,0.00012217963
0.99976987,0.00019931224,3.0897405e-05
0.99828017,0.00078293675,0.0009369745
1.0,1.5993825e-08,1.1976674e-08
