nothing_prob,throw_prob,swing_prob
0.99767417,0.0014717238,0.00085412647
0.9999927,1.371297e-06,5.8214046e-06
0.9999976,2.0665052e-06,3.911675e-07
0.99572396,0.0006773008,0.0035986735
0.9999912,6.759128e-06,2.0296827e-06
0.5819009,0.038903654,0.37919542
0.99999166,1.8976992e-06,6.4628643e-06
0.9878925,0.011035409,0.001072188
0.99999094,6.227076e-07,8.508315e-06
0.99895763,0.000996466,4.589719e-05
0.98769194,0.0088818325,0.0034261919
0.86566377,0.06012283,0.07421343
1.0,6.11575e-11,6.5870094e-11
0.9999988,3.1231906e-07,8.8015906e-07
0.9999994,1.3554337e-07,5.08049e-07
0.99999964,3.3979688e-07,1.1778288e-08
0.99790454,0.0005160446,0.0015794209
0.99999845,1.5285118e-06,2.100878e-08
1.0,1.3673063e-09,5.1355368e-08
1.0,9.143179e-09,2.2100331e-10
0.99150366,0.000756344,0.007740019
0.999967,3.0435145e-05,2.6330572e-06
0.99999964,8.483296e-08,2.6063717e-07
0.9999932,6.658185e-06,7.158104e-08
0.997352,0.0013451455,0.0013028475
0.9999448,1.7588738e-05,3.7565645e-05
0.9999355,1.2004895e-05,5.2433425e-05
0.9944536,0.005523825,2.2570135e-05
0.99815434,0.0016242793,0.00022131801
0.946198,0.03651505,0.017286938
0.99999917,4.2006414e-07,4.0037946e-07
0.9469418,0.047995936,0.0050622807
0.99988127,1.3387411e-05,0.0001053573
0.99996746,2.4622004e-05,7.867722e-06
0.8289339,0.06149973,0.109566376
0.99904495,0.00052983424,0.00042520164
0.9999976,1.4812714e-06,9.311823e-07
0.7339566,0.049635716,0.21640769
0.99999976,1.19008256e-07,1.4107398e-07
0.77059615,0.20302583,0.026378043
0.9999672,4.2461143e-06,2.8434828e-05
0.99999785,5.372972e-07,1.6079282e-06
0.8060432,0.16530843,0.028648276
1.0,6.413513e-09,1.93941e-08
0.38684404,0.28162372,0.33153218
0.99995315,3.216271e-05,1.4719701e-05
0.9993332,0.00040091464,0.00026590517
0.9995191,0.0004022944,7.859956e-05
1.0,2.3307212e-08,7.823394e-09
0.18773475,0.33866125,0.47360396
0.9997141,6.5117674e-05,0.00022085737
0.99998844,2.229932e-06,9.325765e-06
0.8790502,0.08066482,0.040285002
0.9999945,1.6559525e-06,3.844819e-06
0.7318969,0.25135386,0.016749237
0.9996797,8.3713756e-05,0.00023664726
1.0,2.075533e-09,1.5104947e-08
0.23205633,0.20935665,0.558587
0.9998729,1.0713622e-06,0.00012602047
0.99990726,1.4449303e-05,7.827962e-05
1.0,2.7259923e-11,4.75061e-12
0.20414647,0.00918344,0.78667
1.0,6.645593e-10,1.9033333e-10
0.99971837,8.4539846e-05,0.00019711458
0.99832577,0.0002301328,0.0014440389
0.9999989,9.3256455e-07,7.493492e-08
0.34587845,0.25014007,0.40398142
1.0,5.2339823e-11,1.2649868e-11
0.99947506,0.00045454598,7.040411e-05
0.99824154,0.0008040866,0.0009543677
1.0,1.4058421e-09,5.476816e-10
0.93512803,0.016058654,0.048813332
0.99690837,6.075985e-06,0.0030855678
1.0,8.856954e-09,1.0695856e-09
0.95742744,0.002680911,0.039891604
0.99999976,8.889443e-10,2.0452244e-07
0.9992132,0.00060858065,0.00017816843
0.9956599,7.395115e-05,0.004266101
1.0,1.3680718e-11,2.2437179e-11
0.99951863,0.00021897402,0.0002623309
0.99999976,1.2177858e-08,2.5760264e-07
0.99983084,0.00014197576,2.7208673e-05
0.9984456,0.00018387461,0.0013705497
0.99999785,1.3132393e-06,8.202443e-07
0.99975556,4.1526717e-05,0.0002029168
0.9977448,9.132606e-05,0.0021639348
0.9990239,0.00032002042,0.0006560809
0.18630704,0.053625092,0.7600678
0.9999995,4.3760164e-07,1.6289151e-08
0.9826952,0.0020575812,0.015247143
0.9999896,9.155208e-06,1.2183615e-06
0.9555556,0.005648372,0.038796008
0.99999523,1.7298907e-08,4.794948e-06
0.9999931,3.056618e-06,3.7824445e-06
1.0,3.8182196e-12,8.477981e-11
1.0,7.080289e-09,9.94315e-09
1.0,3.07263e-11,1.3345877e-10
0.9999982,1.7188811e-06,1.02304114e-07
0.9017527,0.098123565,0.000123769
1.0,4.3424496e-12,2.5265018e-12
1.0,5.188345e-13,5.671752e-12
1.0,6.256547e-10,1.6263305e-11
1.0,2.8036422e-09,3.0667504e-08
1.0,1.7815125e-12,4.396398e-11
0.99997663,1.2575421e-05,1.0887117e-05
0.99999964,3.5395175e-07,5.37311e-09
0.9999896,1.0496952e-06,9.260353e-06
0.99998343,6.6119533e-06,9.998036e-06
1.0,6.137421e-09,1.14034435e-08
0.9999995,1.0868439e-08,4.8265446e-07
0.999908,8.3009196e-05,9.050034e-06
0.9996013,0.00010096071,0.00029781254
0.93555677,0.0021409509,0.0623022
1.0,2.8291258e-09,7.914777e-11
0.9901045,0.009757574,0.00013790395
0.9998338,0.00012817737,3.800319e-05
0.99248874,2.04054e-05,0.007490894
0.8221597,0.026379555,0.15146081
1.0,1.3199208e-09,2.4022069e-09
0.9972204,0.0005235745,0.0022560626
0.9924115,0.0064096376,0.0011789443
1.0,1.3418585e-08,2.5937721e-08
0.9678164,0.009135467,0.023048153
0.9939183,0.0035848923,0.002496863
0.999503,1.7519977e-05,0.00047948098
0.99997246,2.5646706e-05,1.8771146e-06
1.0,3.972854e-10,2.1215883e-11
0.123478085,0.020697892,0.8558241
0.9999851,1.4799094e-05,7.281871e-08
0.99999905,4.5601043e-09,9.3865435e-07
0.99999964,3.5515583e-07,2.6076803e-08
0.99998665,5.026908e-06,8.286649e-06
1.0,4.9720926e-13,2.8743887e-14
0.6913154,0.032906603,0.27577794
0.99964404,0.00026543444,9.056457e-05
0.9223373,0.006141404,0.071521305
0.99999964,1.6492433e-07,2.6586116e-07
0.99999714,2.0730795e-06,8.6125664e-07
0.9935003,0.0015464507,0.004953229
0.9844556,0.0034205047,0.012123915
0.99952614,0.00041042257,6.3420775e-05
0.9997086,0.00025769114,3.3673474e-05
0.99962866,5.5651395e-05,0.00031566905
0.9999329,3.7031154e-05,3.006973e-05
0.99884284,0.0010211907,0.0001359499
0.9998356,9.369325e-05,7.068129e-05
0.99926883,0.0005546166,0.00017649894
0.99841166,0.0011298072,0.00045844878
0.9996768,0.00015124134,0.00017201388
0.99981636,8.300745e-05,0.000100719946
0.9999782,5.148519e-06,1.6664646e-05
